-0.01,0,-50,-50,-0.08,-0.08,-0.01,-0.01
,,,,,,,
0,0,-45,-39,-0.01,-0.02,-0.01,-0.01
,,,,,,,
-0.01,0,-53,-47,-0.02,-0.04,-0.01,-0.01
,,,,,,,
0,0,-39,-27,-0.06,-0.08,-0.02,-0.02
,,,,,,,
0.02,0,-14,-14,0,0,-0.02,-0.03
,,,,,,,
0.05,0,94,89,0.07,0.08,-0.02,-0.02
,,,,,,,
0.04,0.01,104,98,0.14,0.15,0,-0.01
,,,,,,,
0.04,0.01,116,116,0.2,0.2,0.02,0.01
,,,,,,,
0.02,0.01,124,118,0.23,0.25,0.04,0.04
,,,,,,,
0.02,0.02,150,138,0.23,0.26,0.07,0.07
,,,,,,,
0.01,0.02,137,125,0.27,0.29,0.1,0.1
,,,,,,,
0,0.02,150,144,0.28,0.29,0.13,0.13
,,,,,,,
-0.01,0.02,143,126,0.25,0.28,0.16,0.16
,,,,,,,
-0.02,0.02,141,123,0.25,0.28,0.19,0.19
,,,,,,,
-0.03,0.01,120,109,0.22,0.25,0.21,0.22
,,,,,,,
-0.03,0.01,112,101,0.2,0.22,0.24,0.25
,,,,,,,
-0.04,0,97,85,0.18,0.2,0.26,0.27
,,,,,,,
-0.05,-0.01,76,70,0.14,0.15,0.28,0.29
,,,,,,,
-0.05,-0.01,57,51,0.11,0.12,0.29,0.31
,,,,,,,
-0.05,-0.02,52,28,0.04,0.08,0.3,0.32
,,,,,,,
-0.05,-0.03,34,28,0.01,0.02,0.3,0.33
,,,,,,,
-0.05,-0.03,24,12,0,0.02,0.3,0.33
,,,,,,,
-0.04,-0.04,28,28,0,0,0.3,0.33
,,,,,,,
-0.03,-0.04,51,51,0,0,0.3,0.33
,,,,,,,
-0.04,-0.04,33,21,0.04,0.06,0.3,0.33
,,,,,,,
-0.03,-0.05,47,35,0.01,0.04,0.31,0.34
,,,,,,,
-0.03,-0.05,40,34,0.01,0.02,0.31,0.34
,,,,,,,
-0.03,-0.05,49,31,0.01,0.05,0.31,0.34
,,,,,,,
-0.03,-0.06,37,31,0.02,0.04,0.31,0.35
,,,,,,,
-0.03,-0.06,51,39,0.02,0.05,0.31,0.35
,,,,,,,
-0.03,-0.06,43,37,0.02,0.04,0.32,0.36
,,,,,,,
-0.03,-0.07,50,38,0.02,0.05,0.32,0.36
,,,,,,,
-0.03,-0.07,41,36,0.04,0.05,0.32,0.37
,,,,,,,
-0.04,0,39,33,0.02,0.04,0.33,0.37
,,,,,,,
